% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:41
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0
0.7000000000000001        -1.5                     2196001.9932415206
0.8                       -1.5                     2223476.576413738
0.9000000000000001        -1.5                     2253281.8369516023
1                         -1.5                     2284873.6142565804
1.1                       -1.5                     2318068.65942043
1.2000000000000002        -1.5                     2350439.7882153075
1.3000000000000003        -1.5                     2387738.292280989
1.4000000000000001        -1.5                     2415233.413437833
1.5                       -1.5                     2444073.5069679637
1.6                       -1.5                     2468735.3407245963
1.7000000000000002        -1.5                     2485046.9936581645
1.8000000000000003        -1.5                     2495723.20496752
1.9000000000000001        -1.5                     2606720.635507823
2                         -1.5                     0
0                         -1.4                     1985637.459298549
0.1                       -1.4                     1988739.8340496323
0.2                       -1.4                     1994650.8884175373
0.30000000000000004       -1.4                     2004074.4356224823
0.4                       -1.4                     2017637.2966473587
0.5                       -1.4                     2034094.8435740713
0.6000000000000001        -1.4                     2054457.2694670314
0.7000000000000001        -1.4                     2077327.5032852616
0.8                       -1.4                     2102024.7681304305
0.9000000000000001        -1.4                     2129282.8073089933
1                         -1.4                     2156936.285615324
1.1                       -1.4                     2181137.6819098457
1.2000000000000002        -1.4                     2205717.3985409145
1.3000000000000003        -1.4                     2219527.2992597288
1.4000000000000001        -1.4                     2223622.456915671
1.5                       -1.4                     2215557.928899863
1.6                       -1.4                     2178504.7222562693
1.7000000000000002        -1.4                     2107993.1964536775
1.8000000000000003        -1.4                     1969567.9004043033
1.9000000000000001        -1.4                     1774042.425197903
2                         -1.4                     1461215.3873302802
0                         -1.3                     1866934.6318899456
0.1                       -1.3                     1869573.2255088338
0.2                       -1.3                     1874922.7454534448
0.30000000000000004       -1.3                     1884680.7203408827
0.4                       -1.3                     1898234.6802499967
0.5                       -1.3                     1914751.0085833215
0.6000000000000001        -1.3                     1934530.0559222403
0.7000000000000001        -1.3                     1956738.284445155
0.8                       -1.3                     1980556.4444538364
0.9000000000000001        -1.3                     2005400.0476950523
1                         -1.3                     2029269.2360741594
1.1                       -1.3                     2053202.3010709547
1.2000000000000002        -1.3                     2063574.7999028778
1.3000000000000003        -1.3                     2069244.611996581
1.4000000000000001        -1.3                     2062153.9942316643
1.5                       -1.3                     2032503.867933313
1.6                       -1.3                     1958381.4591850417
1.7000000000000002        -1.3                     1828927.1746592475
1.8000000000000003        -1.3                     1608698.320191224
1.9000000000000001        -1.3                     1233178.779149964
2                         -1.3                     651416.0218427244
0                         -1.2                     1742865.1630105316
0.1                       -1.2                     1745855.5201849823
0.2                       -1.2                     1751981.590716449
0.30000000000000004       -1.2                     1761787.5131870492
0.4                       -1.2                     1775701.8026300857
0.5                       -1.2                     1792655.3808744736
0.6000000000000001        -1.2                     1813108.7789131305
0.7000000000000001        -1.2                     1835831.8921525835
0.8                       -1.2                     1860048.5704576094
0.9000000000000001        -1.2                     1884876.3571286262
1                         -1.2                     1910294.1772650476
1.1                       -1.2                     1928888.7409724288
