% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:42
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0.1309
0.8                       -0.75                    1004374.3446211676
0.9000000000000001        -0.75                    1054595.8122715363
1                         -0.75                    1109534.002508499
1.1                       -0.75                    1162984.574319444
1.2000000000000002        -0.75                    1208871.465021406
1.3000000000000003        -0.75                    1257950.341041643
1.4000000000000001        -0.75                    1303364.6263085408
1.5                       -0.75                    1338670.0045051225
1.6                       -0.75                    1341391.5228338337
1.7000000000000002        -0.75                    1367614.7891372514
1.8000000000000003        -0.75                    1356769.8142022528
1.9000000000000001        -0.75                    1349882.9026813728
2                         -0.75                    1382277.359537933
0                         -0.65                    625741.5607456991
0.1                       -0.65                    631042.1944353497
0.2                       -0.65                    646053.8480970975
0.30000000000000004       -0.65                    670302.7915127897
0.4                       -0.65                    703352.5876628323
0.5                       -0.65                    743379.2070350103
0.6000000000000001        -0.65                    790569.847470446
0.7000000000000001        -0.65                    842578.372663633
0.8                       -0.65                    900024.5081329058
0.9000000000000001        -0.65                    960595.3460311845
1                         -0.65                    1022832.886585913
1.1                       -0.65                    1088292.3617316454
1.2000000000000002        -0.65                    1154055.4458511802
1.3000000000000003        -0.65                    1219421.6965283756
1.4000000000000001        -0.65                    1274086.5561179952
1.5                       -0.65                    1339273.3721826768
1.6                       -0.65                    1400737.9423999097
1.7000000000000002        -0.65                    1459410.7019083137
1.8000000000000003        -0.65                    1515559.6864774658
1.9000000000000001        -0.65                    1591456.2608258866
2                         -0.65                    1696869.2853390246
0                         -0.5499999999999998      474559.29109192116
0.1                       -0.5499999999999998      481381.0473300701
0.2                       -0.5499999999999998      501021.0091626702
0.30000000000000004       -0.5499999999999998      532003.242899707
0.4                       -0.5499999999999998      572895.0810447056
0.5                       -0.5499999999999998      622213.6230802387
0.6000000000000001        -0.5499999999999998      678115.5836651857
0.7000000000000001        -0.5499999999999998      739224.7761383579
0.8                       -0.5499999999999998      804363.283113737
0.9000000000000001        -0.5499999999999998      874852.7998275007
1                         -0.5499999999999998      947992.4995976769
1.1                       -0.5499999999999998      1023764.8696533047
1.2000000000000002        -0.5499999999999998      1100483.9190382934
1.3000000000000003        -0.5499999999999998      1184519.753837502
1.4000000000000001        -0.5499999999999998      1267723.001610085
1.5                       -0.5499999999999998      1357868.3877582757
1.6                       -0.5499999999999998      1452315.547328656
1.7000000000000002        -0.5499999999999998      1559699.1584229823
1.8000000000000003        -0.5499999999999998      1675692.8818008502
1.9000000000000001        -0.5499999999999998      1844952.3764939387
2                         -0.5499999999999998      2041403.1261033393
